Field,Date,Initials,Cycle,DISS_Initials,DISS_G_Unpara,DISS_G_Para,DISS_G_fungus,DISS_G_p+f,DISS_R_Unpara,DISS_R_Para,DISS_R_Fungus,DISS_R_p+f
218,1-Jul-19,LBG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,1-Jul-19,CD,1,LBG,38,33,6,2,8,7,3,0
408,1-Jul-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,1-Jul-19,LBG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,1-Jul-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,1-Jul-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,1-Jul-19,LBG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,3-Jul-19,CD,2,CD,35,0,13,0,13,0,2,0
506SE,3-Jul-19,EG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,3-Jul-19,MB,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,3-Jul-19,CD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,3-Jul-19,EG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,3-Jul-19,MB,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,3-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,3-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,3-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,3-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,3-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,3-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,3-Jul-19,MB,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,3-Jul-19,MB,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,3-Jul-19,MB,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,3-Jul-19,MB,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,3-Jul-19,MB,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,3-Jul-19,MB,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,3-Jul-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,3-Jul-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,3-Jul-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,3-Jul-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,3-Jul-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,3-Jul-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,3-Jul-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,3-Jul-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,3-Jul-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,3-Jul-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,3-Jul-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,3-Jul-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,8-Jul-19,EG,1,"EG,CD",29,10,11,4,5,0,3,1
218,8-Jul-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,8-Jul-19,LBG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,8-Jul-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,8-Jul-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,8-Jul-19,LBG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,8-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,8-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,8-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,8-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,8-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,8-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,8-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,8-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,8-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,8-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,8-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,8-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,8-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,8-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,8-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,8-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,8-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,8-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,8-Jul-19,CD,1,LBG,54,15,12,1,15,8,6,0
408,8-Jul-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,8-Jul-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,8-Jul-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,8-Jul-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,8-Jul-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,15-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,15-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,15-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,15-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,15-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,15-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,15-Jul-19,CD,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,15-Jul-19,LBG,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,15-Jul-19,MB,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,15-Jul-19,CD,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,15-Jul-19,LBG,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,15-Jul-19,MB,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,15-Jul-19,EG,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,15-Jul-19,CD,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,15-Jul-19,MB,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,15-Jul-19,EG,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,15-Jul-19,CD,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,15-Jul-19,MB,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,15-Jul-19,LBG,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,15-Jul-19,EG,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,15-Jul-19,MB,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,15-Jul-19,LBG,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,15-Jul-19,EG,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,15-Jul-19,MB,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,15-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,15-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,15-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,15-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,15-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,15-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,18-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,18-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,18-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,18-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,18-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,18-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,18-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,18-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,18-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,18-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,18-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,18-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,18-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,18-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,18-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,18-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,18-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,18-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,18-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,18-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,18-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,18-Jul-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
